State,Percent
Maine,21.8
Florida,21.3
West Virginia,20.9
Vermont,20.6
Delaware,20
Montana,19.7
Hawaii,19.6
New Hampshire,19.3
Pennsylvania,19.1
South Carolina,18.7
Oregon,18.6
Arizona,18.5
New Mexico,18.5
Rhode Island,18.2
Connecticut,18.2
Michigan,18.2
Wisconsin,18
Iowa,17.9
Ohio,17.9
Alabama,17.8
Wyoming,17.8
Arkansas,17.7
Missouri,17.7
South Dakota,17.6
Massachusetts,17.4
New York,17.4
Kentucky,17.2
North Carolina,17.1
Tennessee,17.1
New Jersey,17
Mississippi,16.9
Kansas,16.8
Minnesota,16.8
Idaho,16.7
Illinois,16.6
Nevada,16.5
Indiana,16.5
Nebraska,16.5
Louisiana,16.4
Oklahoma,16.4
Maryland,16.3
Virginia,16.3
Washington,16.2
North Dakota,16.1
California,15.2
Colorado,15.1
Georgia,14.7
Texas,13.2
Alaska,13.1
Utah,11.7